name,code,city,country,region,latitude,longitude
Debrecen International Airport,DEB,Debrecen,Hungary,Central Europe,0.0,0.0
Győr-Pér International Airport,QGY,Győr,Hungary,Central Europe,0.0,0.0
Hévíz-Balaton Airport,SOB,Hévíz,Hungary,Central Europe,0.0,0.0
Pécs-Pogány International Airport,QPJ,Pécs,Hungary,Central Europe,0.0,0.0
Bydgoszcz Ignacy Jan Paderewski Airport,BZG,Bydgoszcz,Poland,Central Europe,0.0,0.0
Gdańsk Lech Wałęsa Airport,GDN,Gdańsk,Poland,Central Europe,0.0,0.0
Katowice Airport,KTW,Katowice,Poland,Central Europe,0.0,0.0
Kraków John Paul II International Airport,KRK,Kraków,Poland,Central Europe,0.0,0.0
Lublin Airport,LUZ,Lublin,Poland,Central Europe,0.0,0.0
Łódź Władysław Reymont Airport,LCJ,Łódź,Poland,Central Europe,0.0,0.0
Olsztyn-Mazury Airport,SZY,Olsztyn,Poland,Central Europe,0.0,0.0
Poznań–Ławica Airport,POZ,Poznań,Poland,Central Europe,0.0,0.0
Rzeszów–Jasionka Airport,RZE,Rzeszów,Poland,Central Europe,0.0,0.0
Solidarity Szczecin–Goleniów Airport,SZZ,Szczecin,Poland,Central Europe,0.0,0.0
Warsaw Chopin Airport,WAW,Warsaw,Poland,Central Europe,0.0,0.0
Wrocław Airport,WRO,Wrocław,Poland,Central Europe,0.0,0.0
Bratislava Airport,BTS,Bratislava,Slovakia,Central Europe,0.0,0.0
Košice International Airport,KSC,Košice,Slovakia,Central Europe,0.0,0.0
Piešťany Airport,PZY,Piešťany,Slovakia,Central Europe,0.0,0.0
Poprad-Tatry Airport,TAT,Poprad,Slovakia,Central Europe,0.0,0.0
Žilina Airport,ILZ,Žilina,Slovakia,Central Europe,0.0,0.0
EuroAirport Basel Mulhouse Freiburg,BSL,Basel,Switzerland,Central Europe,0.0,0.0
Bern Airport,BRN,Bern,Switzerland,Central Europe,0.0,0.0
Geneva Airport,GVA,Geneva,Switzerland,Central Europe,0.0,0.0
Lugano Airport,LUG,Lugano,Switzerland,Central Europe,0.0,0.0
St. Gallen–Altenrhein Airport,ACH,St. Gallen,Switzerland,Central Europe,0.0,0.0
Zurich Airport,ZRH,Zürich,Switzerland,Central Europe,0.0,0.0
Brač Airport,BWK,Brač,Croatia,Southern Europe,0.0,0.0
Dubrovnik Airport,DBV,Dubrovnik,Croatia,Southern Europe,0.0,0.0
Lošinj Airport,LSZ,Mali Lošinj,Croatia,Southern Europe,0.0,0.0
Osijek Airport,OSI,Osijek,Croatia,Southern Europe,0.0,0.0
Pula Airport,PUY,Pula,Croatia,Southern Europe,0.0,0.0
Rijeka Airport,RJK,Rijeka,Croatia,Southern Europe,0.0,0.0
Split Airport,SPU,Split,Croatia,Southern Europe,0.0,0.0
Zadar Airport,ZAD,Zadar,Croatia,Southern Europe,0.0,0.0
Zagreb Airport,ZAG,Zagreb,Croatia,Southern Europe,0.0,0.0
Athens International Airport,ATH,Athens,Greece,Southern Europe,0.0,0.0
Kefalonia Island International Airport,EFL,Cephalonia,Greece,Southern Europe,0.0,0.0
Chania International Airport,CHQ,Chania,Greece,Southern Europe,0.0,0.0
Chios Island National Airport,JKH,Chios,Greece,Southern Europe,0.0,0.0
Corfu International Airport,CFU,Corfu,Greece,Southern Europe,0.0,0.0
Heraklion International Airport,HER,Heraklion,Greece,Southern Europe,0.0,0.0
Kalamata International Airport,KLX,Kalamata,Greece,Southern Europe,0.0,0.0
Karpathos Island National Airport,AOK,Karpathos,Greece,Southern Europe,0.0,0.0
Kavala International Airport,KVA,Kavala,Greece,Southern Europe,0.0,0.0
Kos International Airport,KGS,Kos,Greece,Southern Europe,0.0,0.0
Mykonos Airport,JMK,Mykonos,Greece,Southern Europe,0.0,0.0
Mytilene International Airport,MJT,Mytilene,Greece,Southern Europe,0.0,0.0
Aktion National Airport,PVK,Preveza,Greece,Southern Europe,0.0,0.0
Rhodes International Airport,RHO,Rhodes,Greece,Southern Europe,0.0,0.0
Samos International Airport,SMI,Samos,Greece,Southern Europe,0.0,0.0
Santorini (Thira) International Airport,JTR,Santorini,Greece,Southern Europe,0.0,0.0
Skiathos International Airport,JSI,Skiathos,Greece,Southern Europe,0.0,0.0
Skyros Island National Airport,SKU,Skyros,Greece,Southern Europe,0.0,0.0
Thessaloniki Airport,SKG,Thessaloniki,Greece,Southern Europe,0.0,0.0
Nea Anchialos National Airport,VOL,Volos,Greece,Southern Europe,0.0,0.0
Zakynthos International Airport,ZTH,Zakynthos,Greece,Southern Europe,0.0,0.0
Fertilia Airport,AHO,Alghero,Italy,Southern Europe,0.0,0.0
Ancona Airport,AOI,Ancona,Italy,Southern Europe,0.0,0.0
Palese Airport,BRI,Bari,Italy,Southern Europe,0.0,0.0
Orio al Serio Airport,BGY,Bergamo,Italy,Southern Europe,0.0,0.0
Bologna Airport,BLQ,Bologna,Italy,Southern Europe,0.0,0.0
Brescia Airport,VBS,Brescia,Italy,Southern Europe,0.0,0.0
Brindisi Airport,BDS,Brindisi,Italy,Southern Europe,0.0,0.0
Cagliari Airport,CAG,Cagliari,Italy,Southern Europe,0.0,0.0
Fontanarossa Airport,CTA,Catania,Italy,Southern Europe,0.0,0.0
Cuneo Levaldigi Airport,CUF,Cuneo,Italy,Southern Europe,0.0,0.0
Peretola Airport,FLR,Florence,Italy,Southern Europe,0.0,0.0
Cristoforo Colombo Airport,GOA,Genoa,Italy,Southern Europe,0.0,0.0
Lamezia Terme Airport,SUF,Lamezia,Italy,Southern Europe,0.0,0.0
Linate Airport,LIN,Milan,Italy,Southern Europe,0.0,0.0
Naples International Airport,NAP,Naples,Italy,Southern Europe,0.0,0.0
Costa Smeralda Airport,OLB,Olbia,Italy,Southern Europe,0.0,0.0
Palermo Airport,PMO,Palermo,Italy,Southern Europe,0.0,0.0
Giuseppe Verdi Airport,PMF,Parma,Italy,Southern Europe,0.0,0.0
San Egidio Airport,PEG,Perugia,Italy,Southern Europe,0.0,0.0
Abruzzo Airport,PSR,Pescara,Italy,Southern Europe,0.0,0.0
Galileo Galilei Airport,PSA,Pisa,Italy,Southern Europe,0.0,0.0
Federico Fellini Airport,RMI,Rimini,Italy,Southern Europe,0.0,0.0
Leonardo da Vinci–Fiumicino Airport,FCO,Rome,Italy,Southern Europe,41.8003,12.2389
Salerno Costa d'Amalfi Airport,QSR,Salerno,Italy,Southern Europe,0.0,0.0
Vincenzo Florio Airport,TPS,Trapani,Italy,Southern Europe,0.0,0.0
Friuli Venezia Giulia Airport,TRS,Trieste,Italy,Southern Europe,0.0,0.0
Caselle Airport,TRN,Turin,Italy,Southern Europe,0.0,0.0
Venice Marco Polo Airport,VCE,Venice,Italy,Southern Europe,0.0,0.0
Verona Villafranca Airport,VRN,Verona,Italy,Southern Europe,0.0,0.0
Malta International Airport,MLA,Ħal Luqa,Malta,Southern Europe,0.0,0.0
Beja Airport,BYJ,Beja,Portugal,Southern Europe,0.0,0.0
Faro Airport,FAO,Faro,Portugal,Southern Europe,0.0,0.0
Madeira Airport,FNC,Funchal,Portugal,Southern Europe,0.0,0.0
Lisbon Airport,LIS,Lisbon,Portugal,Southern Europe,0.0,0.0
João Paulo II Airport,PDL,Ponta Delgada,Portugal,Southern Europe,0.0,0.0
Porto Santo Airport,PXO,Porto Santo Island,Portugal,Southern Europe,0.0,0.0
Lajes Airport,TER,Terceira Island,Portugal,Southern Europe,0.0,0.0
Ljubljana Jože Pučnik Airport,LJU,Ljubljana,Slovenia,Southern Europe,0.0,0.0
Maribor Edvard Rusjan Airport,MBX,Maribor,Slovenia,Southern Europe,0.0,0.0
Portorož Airport,POW,Portorož,Slovenia,Southern Europe,0.0,0.0
A Coruña Airport,LCG,A Coruña,Spain,Southern Europe,0.0,0.0
Alicante–Elche Miguel Hernández Airport,ALC,Alicante,Spain,Southern Europe,0.0,0.0
Almería Airport,LEI,Almería,Spain,Southern Europe,0.0,0.0
Asturias Airport,OVD,Asturias,Spain,Southern Europe,0.0,0.0
Josep Tarradellas Barcelona–El Prat Airport,BCN,Barcelona,Spain,Southern Europe,41.2971,2.0833
Bilbao Airport,BIO,Bilbao,Spain,Southern Europe,0.0,0.0
Castellón–Costa Azahar Airport,CDT,Castellón de la Plana,Spain,Southern Europe,0.0,0.0
Fuerteventura Airport,FUE,Fuerteventura,Spain,Southern Europe,0.0,0.0
Girona-Costa Brava Airport,GRO,Girona,Spain,Southern Europe,0.0,0.0
Gran Canaria Airport,LPA,Gran Canaria,Spain,Southern Europe,0.0,0.0
Federico García Lorca Granada Airport,GRX,Granada,Spain,Southern Europe,0.0,0.0
Huesca-Pirineos Airport,HSK,Huesca,Spain,Southern Europe,0.0,0.0
Ibiza Airport,IBZ,Ibiza,Spain,Southern Europe,0.0,0.0
Jerez Airport,XRY,Jerez de la Frontera,Spain,Southern Europe,0.0,0.0
La Palma Airport,SPC,La Palma,Spain,Southern Europe,0.0,0.0
Lanzarote Airport,ACE,Lanzarote,Spain,Southern Europe,0.0,0.0
Alguaire Airport,ILD,Lleida,Spain,Southern Europe,0.0,0.0
Madrid-Barajas Airport,MAD,Madrid,Spain,Southern Europe,40.4719,-3.5626
Málaga Airport,AGP,Málaga,Spain,Southern Europe,0.0,0.0
Menorca Airport,MAH,Menorca,Spain,Southern Europe,0.0,0.0
Región de Murcia International Airport,RMU,Murcia,Spain,Southern Europe,0.0,0.0
Palma de Mallorca Airport,PMI,Palma de Mallorca,Spain,Southern Europe,0.0,0.0
Pamplona Airport,PNA,Pamplona,Spain,Southern Europe,0.0,0.0
Reus Airport,REU,Reus,Spain,Southern Europe,0.0,0.0
Santander Airport,SDR,Santander,Spain,Southern Europe,0.0,0.0
Santiago de Compostela Airport,SCQ,Santiago de Compostela,Spain,Southern Europe,0.0,0.0
Seville Airport,SVQ,Seville,Spain,Southern Europe,0.0,0.0
Tenerife North–Ciudad de La Laguna Airport,TFN,Tenerife,Spain,Southern Europe,0.0,0.0
Valencia Airport,VLC,Valencia,Spain,Southern Europe,0.0,0.0
Valladolid Airport,VLL,Valladolid,Spain,Southern Europe,0.0,0.0
Vigo–Peinador Airport,VGO,Vigo,Spain,Southern Europe,0.0,0.0
Vitoria Airport,VIT,Vitoria-Gasteiz,Spain,Southern Europe,0.0,0.0
Zaragoza Airport,ZAZ,Zaragoza,Spain,Southern Europe,0.0,0.0
Kukës International Airport Zayed,KFZ,Kukes,Albania,Eastern Europe,0.0,0.0
Tirana International Airport Nënë Tereza,TIA,Tirana,Albania,Eastern Europe,0.0,0.0
Hrodna Airport,GNA,Grodno,Belarus,Eastern Europe,0.0,0.0
Gomel Airport,GME,Gomel,Belarus,Eastern Europe,0.0,0.0
Minsk International Airport,MSQ,Minsk,Belarus,Eastern Europe,0.0,0.0
Banja Luka International Airport,BNX,Banja Luka,Bosnia and Herzegovina,Eastern Europe,0.0,0.0
Mostar International Airport,OMO,Mostar,Bosnia and Herzegovina,Eastern Europe,0.0,0.0
Sarajevo International Airport,SJJ,Sarajevo,Bosnia and Herzegovina,Eastern Europe,0.0,0.0
Tuzla International Airport,TZL,Tuzla,Bosnia and Herzegovina,Eastern Europe,0.0,0.0
Burgas Airport,BOJ,Burgas,Bulgaria,Eastern Europe,0.0,0.0
Plovdiv Airport,PDV,Plovdiv,Bulgaria,Eastern Europe,0.0,0.0
Sofia Airport,SOF,Sofia,Bulgaria,Eastern Europe,0.0,0.0
Varna Airport,VAR,Varna,Bulgaria,Eastern Europe,0.0,0.0
Pristina International Airport,PRN,Pristina,Kosovo,Eastern Europe,0.0,0.0
Chișinău International Airport,RMO,Chişinău,Moldova,Eastern Europe,0.0,0.0
Arad International Airport,ARW,Arad,Romania,Eastern Europe,0.0,0.0
George Enescu International Airport,BCM,Bacau,Romania,Eastern Europe,0.0,0.0
Maramureș Airport,BAY,Baia Mare,Romania,Eastern Europe,0.0,0.0
Brașov-Ghimbav International Airport,GHV,Brașov,Romania,Eastern Europe,0.0,0.0
Henri Coandă International Airport,OTP,Bucharest,Romania,Eastern Europe,0.0,0.0
Cluj-Napoca International Airport,CLJ,Cluj-Napoca,Romania,Eastern Europe,0.0,0.0
Mihail Kogălniceanu International Airport,CND,Constanța,Romania,Eastern Europe,0.0,0.0
Craiova International Airport,CRA,Craiova,Romania,Eastern Europe,0.0,0.0
Iași International Airport,IAS,Iași,Romania,Eastern Europe,0.0,0.0
Oradea International Airport,OMR,Oradea,Romania,Eastern Europe,0.0,0.0
Satu Mare International Airport,SUJ,Satu Mare,Romania,Eastern Europe,0.0,0.0
Sibiu International Airport,SBZ,Sibiu,Romania,Eastern Europe,0.0,0.0
Suceava International Airport,SCV,Suceava,Romania,Eastern Europe,0.0,0.0
Târgu Mureș International Airport,TGM,Târgu Mureș,Romania,Eastern Europe,0.0,0.0
Timișoara Traian Vuia International Airport,TSR,Timișoara,Romania,Eastern Europe,0.0,0.0
Podgorica Airport,TGD,Podgorica,Montenegro,Eastern Europe,0.0,0.0
Tivat Airport,TIV,Tivat,Montenegro,Eastern Europe,0.0,0.0
Ohrid St. Paul the Apostle Airport,OHD,Ohrid,North Macedonia,Eastern Europe,0.0,0.0
Skopje International Airport,SKP,Skopje,North Macedonia,Eastern Europe,0.0,0.0
Abakan International Airport,ABA,Abakan,Russia,Eastern Europe,0.0,0.0
Ugolny Airport,DYR,Anadyr,Russia,Eastern Europe,0.0,0.0
Anapa Airport,AAQ,Anapa,Russia,Eastern Europe,0.0,0.0
Talagi Airport,ARH,Arkhangelsk,Russia,Eastern Europe,0.0,0.0
Narimanovo Airport,ASF,Astrakhan,Russia,Eastern Europe,0.0,0.0
Barnaul Airport,BAX,Barnaul,Russia,Eastern Europe,0.0,0.0
Belgorod International Airport,EGO,Belgorod,Russia,Eastern Europe,0.0,0.0
Ignatyevo Airport,BQS,Blagoveshchensk,Russia,Eastern Europe,0.0,0.0
Bratsk Airport,BTK,Bratsk,Russia,Eastern Europe,0.0,0.0
Bryansk International Airport,BZK,Bryansk,Russia,Eastern Europe,0.0,0.0
Cheboksary International Airport,CSY,Cheboksary,Russia,Eastern Europe,0.0,0.0
Chelyabinsk Airport,CEK,Chelyabinsk,Russia,Eastern Europe,0.0,0.0
Cherepovets Airport,CEE,Cherepovets,Russia,Eastern Europe,0.0,0.0
Chita-Kadala International Airport,HTA,Chita,Russia,Eastern Europe,0.0,0.0
Elista Airport,ESL,Elista,Russia,Eastern Europe,0.0,0.0
Grozny Airport,GRV,Grozny,Russia,Eastern Europe,0.0,0.0
Irkutsk Airport,IKT,Irkutsk,Russia,Eastern Europe,0.0,0.0
Khrabrovo Airport,KGD,Kaliningrad,Russia,Eastern Europe,0.0,0.0
Kazan Airport,KZN,Kazan,Russia,Eastern Europe,0.0,0.0
Khabarovsk Novy Airport,KHV,Khabarovsk,Russia,Eastern Europe,0.0,0.0
Komsomolsk-on-Amur Airport,KXK,Komsomolsk-on-Amur,Russia,Eastern Europe,0.0,0.0
Pashkovsky Airport,KRR,Krasnodar,Russia,Eastern Europe,0.0,0.0
Yemelyanovo International Airport,KJA,Krasnoyarsk,Russia,Eastern Europe,0.0,0.0
Kursk Vostochny Airport,URS,Kursk,Russia,Eastern Europe,0.0,0.0
Sokol Airport,GDX,Magadan,Russia,Eastern Europe,0.0,0.0
Magnitogorsk International Airport,MQF,Magnitogorsk,Russia,Eastern Europe,0.0,0.0
Uytash Airport,MCX,Makhachkala,Russia,Eastern Europe,0.0,0.0
Mineralnye Vody Airport,MRV,Mineralnye Vody,Russia,Eastern Europe,0.0,0.0
Domodedovo International Airport,DME,Moscow,Russia,Eastern Europe,0.0,0.0
Murmansk Airport,MMK,Murmansk,Russia,Eastern Europe,0.0,0.0
Nalchik Airport,NAL,Nalchik,Russia,Eastern Europe,0.0,0.0
Begishevo Airport,NBC,Nizhnekamsk,Russia,Eastern Europe,0.0,0.0
Nizhnevartovsk Airport,NJC,Nizhnevartovsk,Russia,Eastern Europe,0.0,0.0
Strigino Airport,GOJ,Nizhny Novgorod,Russia,Eastern Europe,0.0,0.0
Spichenkovo Airport,NOZ,Novokuznetsk,Russia,Eastern Europe,0.0,0.0
Tolmachevo Airport,OVB,Novosibirsk,Russia,Eastern Europe,0.0,0.0
Omsk Tsentralny Airport,OMS,Omsk,Russia,Eastern Europe,0.0,0.0
Orenburg Tsentralny Airport,REN,Orenburg,Russia,Eastern Europe,0.0,0.0
Orsk Airport,OSW,Orsk,Russia,Eastern Europe,0.0,0.0
Perm International Airport,PEE,Perm,Russia,Eastern Europe,0.0,0.0
Petrozavodsk Airport,PES,Petrozavodsk,Russia,Eastern Europe,0.0,0.0
Provideniya Bay Airport,PVS,Provideniya,Russia,Eastern Europe,0.0,0.0
Yelizovo Airport,PKC,Petropavlovsk-Kamchatsky,Russia,Eastern Europe,0.0,0.0
Pskov Airport,PKV,Pskov,Russia,Eastern Europe,0.0,0.0
Platov International Airport,ROV,Rostov-on-Don,Russia,Eastern Europe,0.0,0.0
Pulkovo Airport,LED,Saint Petersburg,Russia,Eastern Europe,0.0,0.0
Samara Kurumoch Airport,KUF,Samara,Russia,Eastern Europe,0.0,0.0
Saratov Gagarin Airport,GSV,Saratov,Russia,Eastern Europe,0.0,0.0
Sochi International Airport,AER,Sochi,Russia,Eastern Europe,0.0,0.0
Stavropol Shpakovskoye Airport,STW,Stavropol,Russia,Eastern Europe,0.0,0.0
Farman Salmanov Surgut Airport,SGC,Surgut,Russia,Eastern Europe,0.0,0.0
Syktyvkar Airport,SCW,Syktyvkar,Russia,Eastern Europe,0.0,0.0
Bogashevo Airport,TOF,Tomsk,Russia,Eastern Europe,0.0,0.0
Roshchino International Airport,TJM,Tyumen,Russia,Eastern Europe,0.0,0.0
Baikal International Airport,UUD,Ulan-Ude,Russia,Eastern Europe,0.0,0.0
Ulyanovsk Baratayevka Airport,ULV,Ulyanovsk,Russia,Eastern Europe,0.0,0.0
Ufa International Airport,UFA,Ufa,Russia,Eastern Europe,0.0,0.0
Vladivostok International Airport,VVO,Vladivostok,Russia,Eastern Europe,0.0,0.0
Beslan Airport,OGZ,Vladikavkaz,Russia,Eastern Europe,0.0,0.0
Volgograd International Airport,VOG,Volgograd,Russia,Eastern Europe,0.0,0.0
Voronezh International Airport,VOZ,Voronezh,Russia,Eastern Europe,0.0,0.0
Yakutsk Airport,YKS,Yakutsk,Russia,Eastern Europe,0.0,0.0
Tunoshna Airport,IAR,Yaroslavl,Russia,Eastern Europe,0.0,0.0
Koltsovo International Airport,SVX,Yekaterinburg,Russia,Eastern Europe,0.0,0.0
Yuzhno-Sakhalinsk Airport,UUS,Yuzhno-Sakhalinsk,Russia,Eastern Europe,0.0,0.0
Belgrade Nikola Tesla Airport,BEG,Belgrade,Serbia,Eastern Europe,0.0,0.0
Morava Airport,KVO,Kraljevo,Serbia,Eastern Europe,0.0,0.0
Niš Constantine the Great Airport,INI,Niš,Serbia,Eastern Europe,0.0,0.0
Chernivtsi International Airport,CWC,Chernivtsi,Ukraine,Eastern Europe,0.0,0.0
Ivano-Frankivsk International Airport,IFO,Ivano-Frankivsk,Ukraine,Eastern Europe,0.0,0.0
Kharkiv International Airport,HRK,Kharkiv,Ukraine,Eastern Europe,0.0,0.0
Kryvyi Rih International Airport,KWG,Kryvyi Rih,Ukraine,Eastern Europe,0.0,0.0
Boryspil International Airport,KBP,Kyiv,Ukraine,Eastern Europe,0.0,0.0
Lviv Danylo Halytskyi International Airport,LWO,Lviv,Ukraine,Eastern Europe,0.0,0.0
Mykolaiv International Airport,NLV,Mykolaiv,Ukraine,Eastern Europe,0.0,0.0
Odesa International Airport,ODS,Odesa,Ukraine,Eastern Europe,0.0,0.0
Poltava Airport,PLV,Poltava,Ukraine,Eastern Europe,0.0,0.0
Simferopol International Airport,SIP,Simferopol,Ukraine,Eastern Europe,0.0,0.0
Uzhhorod International Airport,UDJ,Uzhhorod,Ukraine,Eastern Europe,0.0,0.0
Zaporizhzhia International Airport,OZH,Zaporizhzhia,Ukraine,Eastern Europe,0.0,0.0
Aalborg Airport,AAL,Aalborg,Denmark,Eastern Europe,0.0,0.0
Aarhus Airport,AAR,Aarhus,Denmark,Eastern Europe,0.0,0.0
Billund Airport,BLL,Billund,Denmark,Eastern Europe,0.0,0.0
Copenhagen Airport,CPH,Copenhagen,Denmark,Eastern Europe,55.6181,12.6561
Pärnu Airport,EPU,Pärnu,Estonia,Eastern Europe,0.0,0.0
Lennart Meri Tallinn Airport,TLL,Tallinn,Estonia,Eastern Europe,0.0,0.0
Tartu Airport,TAY,Tartu,Estonia,Eastern Europe,0.0,0.0
Vágar Airport,FAE,Vágar,Faroe Islands,Eastern Europe,0.0,0.0
Mariehamn Airport,MHQ,Åland,Finland,Eastern Europe,0.0,0.0
Helsinki-Vantaa Airport,HEL,Helsinki,Finland,Eastern Europe,60.3172,24.9633
Kittilä Airport,KTT,Kittilä,Finland,Eastern Europe,0.0,0.0
Kuopio Airport,KUO,Kuopio,Finland,Eastern Europe,0.0,0.0
Kuusamo Airport,KAO,Kuusamo,Finland,Eastern Europe,0.0,0.0
Lappeenranta Airport,LPP,Lappeenranta,Finland,Eastern Europe,0.0,0.0
Oulu Airport,OUL,Oulu,Finland,Eastern Europe,0.0,0.0
Rovaniemi Airport,RVN,Rovaniemi,Finland,Eastern Europe,0.0,0.0
Savonlinna Airport,SVL,Savonlinna,Finland,Eastern Europe,0.0,0.0
Tampere–Pirkkala Airport,TMP,Tampere,Finland,Eastern Europe,0.0,0.0
Turku Airport,TKU,Turku,Finland,Eastern Europe,0.0,0.0
Vaasa Airport,VAA,Vaasa,Finland,Eastern Europe,0.0,0.0
Akureyri Airport,AEY,Akureyri,Iceland,Eastern Europe,0.0,0.0
Egilsstaðir Airport,EGS,Egilsstaðir,Iceland,Eastern Europe,0.0,0.0
Keflavik International Airport,KEF,Reykjavík,Iceland,Eastern Europe,0.0,0.0
Riga International Airport,RIX,Riga,Latvia,Eastern Europe,0.0,0.0
Ventspils International Airport,VNT,Ventspils,Latvia,Eastern Europe,0.0,0.0
Kaunas Airport,KUN,Kaunas,Lithuania,Eastern Europe,0.0,0.0
Palanga International Airport,PLQ,Palanga,Lithuania,Eastern Europe,0.0,0.0
Šiauliai International Airport,SQQ,Šiauliai,Lithuania,Eastern Europe,0.0,0.0
Vilnius Airport,VNO,Vilnius,Lithuania,Eastern Europe,0.0,0.0
Ålesund Airport,AES,Ålesund,Norway,Eastern Europe,0.0,0.0
Bergen Airport,BGO,Bergen,Norway,Eastern Europe,0.0,0.0
Bodø Airport,BOO,Bodø,Norway,Eastern Europe,0.0,0.0
Haugesund Airport,HAU,Haugesund,Norway,Eastern Europe,0.0,0.0
"Kristiansand Airport, Kjevik",KRS,Kristiansand,Norway,Eastern Europe,0.0,0.0
"Kristiansund Airport, Kvernberget",KSU,Kristiansund,Norway,Eastern Europe,0.0,0.0
"Oslo Airport, Gardermoen",OSL,Oslo,Norway,Eastern Europe,60.1939,11.1004
Stavanger Airport,SVG,Stavanger,Norway,Eastern Europe,0.0,0.0
Tromsø Airport,TOS,Tromsø,Norway,Eastern Europe,0.0,0.0
Trondheim Airport,TRD,Trondheim,Norway,Eastern Europe,0.0,0.0
Göteborg Landvetter Airport,GOT,Gothenburg,Sweden,Eastern Europe,0.0,0.0
Luleå Airport,LLA,Luleå,Sweden,Eastern Europe,0.0,0.0
Malmö Airport,MMX,Malmö,Sweden,Eastern Europe,0.0,0.0
Norrköping Airport,NRK,Norrköping,Sweden,Eastern Europe,0.0,0.0
Åre Östersund Airport,OSD,Östersund,Sweden,Eastern Europe,0.0,0.0
Stockholm Arlanda Airport,ARN,Stockholm,Sweden,Eastern Europe,59.6519,17.9186
Sundsvall–Timrå Airport,SDL,Sundsvall,Sweden,Eastern Europe,0.0,0.0
Umeå Airport,UME,Umeå,Sweden,Eastern Europe,0.0,0.0
Växjö Airport,VXO,Växjö,Sweden,Eastern Europe,0.0,0.0
Visby Airport,VBY,Visby,Sweden,Eastern Europe,0.0,0.0
Pago Pago International Airport,PPG,Pago Pago,American Samoa,Oceania,0.0,0.0
Adelaide Airport,ADL,Adelaide,Australia,Oceania,0.0,0.0
Brisbane Airport,BNE,Brisbane,Australia,Oceania,-27.3942,153.1218
Broome International Airport,BME,Broome,Australia,Oceania,0.0,0.0
Cairns Airport,CNS,Cairns,Australia,Oceania,0.0,0.0
Canberra Airport,CBR,Canberra,Australia,Oceania,0.0,0.0
Darwin International Airport,DRW,Darwin,Australia,Oceania,0.0,0.0
Gold Coast Airport,OOL,Gold Coast,Australia,Oceania,0.0,0.0
Hobart Airport,HBA,Hobart,Australia,Oceania,0.0,0.0
Horn Island Airport,HID,Horn Island,Australia,Oceania,0.0,0.0
Melbourne Airport,MEL,Melbourne,Australia,Oceania,-37.669,144.841
Newcastle Airport[2] (upcoming),NTL,Newcastle,Australia,Oceania,0.0,0.0
Perth Airport,PER,Perth,Australia,Oceania,-31.9403,115.9669
Sunshine Coast Airport[3],MCY,Sunshine Coast,Australia,Oceania,0.0,0.0
Sydney Airport,SYD,Sydney,Australia,Oceania,-33.9399,151.1753
Western Sydney Airport (upcoming),WSI,Sydney,Australia,Oceania,0.0,0.0
Christmas Island Airport,XCH,Flying Fish Cove,Christmas Island,Oceania,0.0,0.0
Cocos (Keeling) Islands Airport,CCK,Cocos (Keeling) Islands,Cocos (Keeling) Islands,Oceania,0.0,0.0
Rarotonga Airport,RAR,Avarua,Cook Islands,Oceania,0.0,0.0
Mataveri International Airport,IPC,Hanga Roa,Easter Island,Oceania,0.0,0.0
Nadi International Airport,NAN,Nadi,Fiji,Oceania,0.0,0.0
Nausori International Airport,SUV,Suva,Fiji,Oceania,0.0,0.0
Faa'a International Airport,PPT,Papeete,French Polynesia,Oceania,0.0,0.0
Antonio B. Won Pat International Airport,GUM,Hagåtña,Guam,Oceania,0.0,0.0
Cassidy International Airport,CXI,Kiritimati,Kiribati,Oceania,0.0,0.0
Bonriki International Airport,TRW,Tarawa,Kiribati,Oceania,0.0,0.0
Bucholz Army Airfield,KWA,Kwajalein,Marshall Islands,Oceania,0.0,0.0
Marshall Islands International Airport,MAJ,Majuro,Marshall Islands,Oceania,0.0,0.0
Chuuk International Airport,TKK,Chuuk,Federated States of Micronesia,Oceania,0.0,0.0
Kosrae International Airport,KSA,Kosrae,Federated States of Micronesia,Oceania,0.0,0.0
Pohnpei International Airport,PNI,Pohnpei,Federated States of Micronesia,Oceania,0.0,0.0
Yap International Airport,YAP,Yap,Federated States of Micronesia,Oceania,0.0,0.0
Nauru International Airport,INU,Yaren District,Nauru,Oceania,0.0,0.0
La Tontouta International Airport,NOU,Nouméa,New Caledonia,Oceania,0.0,0.0
Auckland Airport,AKL,Auckland,New Zealand,Oceania,-37.0082,174.785
Christchurch Airport,CHC,Christchurch,New Zealand,Oceania,0.0,0.0
Dunedin Airport,DUD,Dunedin,New Zealand,Oceania,0.0,0.0
Hamilton Airport,HLZ,Hamilton,New Zealand,Oceania,0.0,0.0
Queenstown Airport,ZQN,Queenstown,New Zealand,Oceania,0.0,0.0
Wellington Airport,WLG,Wellington,New Zealand,Oceania,0.0,0.0
Norfolk Island Airport,NLK,Burnt Pine,Norfolk Island,Oceania,0.0,0.0
Rota International Airport,ROP,Rota,Northern Mariana Islands,Oceania,0.0,0.0
Saipan International Airport,SPN,Saipan,Northern Mariana Islands,Oceania,0.0,0.0
Tinian International Airport,TIQ,Tinian,Northern Mariana Islands,Oceania,0.0,0.0
Niue International Airport,IUE,Alofi,Niue,Oceania,0.0,0.0
Roman Tmetuchl International Airport,ROR,Koror,Palau,Oceania,0.0,0.0
Daru Airport,DAU,Daru,Papua New Guinea,Oceania,0.0,0.0
Mount Hagen Airport,HGU,Mount Hagen,Papua New Guinea,Oceania,0.0,0.0
